,Unnamed: 0_x,bike_station_location,name,main_category_x,address,price,rating,review_count,status,distance_away_x,Unnamed: 0_y,main_category_y,distance_away_y,Unnamed: 0,latitude,longitude,num_of_bikes
43,240,"45.51515295,-122.665776",Shalom Y'all Restaurant,Middle Eastern,117 SE Taylor St,$$,4.5,346,Open,100.87377271922225,120,Israeli Restaurant,101,12,45.51515295,-122.665776,4
44,262,"45.51645917,-122.6189983",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,285.04075753941504,134,Pub,270,13,45.51645917,-122.6189983,4
45,267,"45.51645917,-122.6189983",Brazilian House,Food Trucks,4255 SE Belmont St,$,4.5,96,Open,55.61416589841365,131,Brazilian Restaurant,48,13,45.51645917,-122.6189983,4
46,270,"45.51645917,-122.6189983",Never Coffee,Coffee & Tea,4243 SE Belmont St,$$,4.0,185,Open,42.425482214846895,130,Coffee Shop,27,13,45.51645917,-122.6189983,4
47,284,"45.52373453,-122.6372065",Stammtisch,German,401 NE 28th Ave,$$,4.5,517,Open,237.53723048363685,147,Gastropub,233,14,45.52373453,-122.6372065,4
48,292,"45.52373453,-122.6372065",Cheese & Crack Snack Shop,Cheese Shops,22 SE 28th Ave,$$,4.5,547,Open,143.68656737880937,144,American Restaurant,139,14,45.52373453,-122.6372065,4
49,300,"45.52536699,-122.6725459",Lechon,Tapas Bars,113 SW Naito Pkwy,$$$,4.5,1825,Open,470.6340668760817,153,American Restaurant,472,15,45.52536699,-122.6725459,1
50,312,"45.52536699,-122.6725459",Lan Su Chinese Garden,Botanical Gardens,239 NW Everett St,,4.5,664,Open,42.48091377905369,150,Chinese Restaurant,61,15,45.52536699,-122.6725459,1
51,314,"45.52536699,-122.6725459",Portland Burger,Burgers,304 SW 2nd Ave,$$,4.5,629,Open,551.5102298612085,154,Beer Bar,554,15,45.52536699,-122.6725459,1
52,322,"45.52976024,-122.6966429",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,171.28845196916683,163,Italian Restaurant,172,16,45.52976024,-122.6966429,2
53,330,"45.52976024,-122.6966429",Bantam Tavern,Brewpubs,922 NW 21st Ave,$$,4.5,83,Open,177.96928057124876,161,Cocktail Bar,176,16,45.52976024,-122.6966429,2
54,334,"45.52976024,-122.6966429",Salt & Straw,Ice Cream & Frozen Yogurt,838 NW 23rd Ave,$$,4.5,4207,Open,154.7139532471438,160,Ice Cream Parlor,158,16,45.52976024,-122.6966429,2
55,361,"45.52196048,-122.6896772",Mediterranean Exploration Company,Mediterranean,333 NW 13th Ave,$$,4.5,951,Open,568.3769237112881,188,Mediterranean Restaurant,566,18,45.52196048,-122.6896772,3
56,395,"45.51299715,-122.6567262",White Owl Social Club,Lounges,1305 SE 8th Ave,$$,3.0,475,Open,112.02263026416044,190,Lounge,102,19,45.51299715,-122.6567262,1
57,400,"45.52374151,-122.6818129",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,98.69096460531968,204,Bar,90,20,45.52374151,-122.6818129,4
58,403,"45.52374151,-122.6818129",Mediterranean Exploration Company,Mediterranean,333 NW 13th Ave,$$,4.5,951,Open,288.33097057991,209,Mediterranean Restaurant,281,20,45.52374151,-122.6818129,4
59,425,"45.52634601,-122.6941484",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,299.0243379785132,218,Italian Restaurant,300,21,45.52634601,-122.6941484,12
60,427,"45.52634601,-122.6941484",Pope House Bourbon Lounge,Lounges,2075 NW Glisan St,$$,4.0,339,Open,16.919402729406425,211,Cocktail Bar,12,21,45.52634601,-122.6941484,12
61,442,"45.52826831,-122.6945615",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,82.86704004659187,222,Italian Restaurant,84,22,45.52826831,-122.6945615,2
62,453,"45.52826831,-122.6945615",Bantam Tavern,Brewpubs,922 NW 21st Ave,$$,4.5,83,Open,143.71428223022608,223,Cocktail Bar,137,22,45.52826831,-122.6945615,2
63,463,"45.56282546,-122.6747467",Tulip Shop Tavern,American (Traditional),825 N Killingsworth St,$$,4.0,108,Open,68.14487914397805,230,Cocktail Bar,69,23,45.56282546,-122.6747467,3
