bike_station_location,name,main_category,address,distance_away
"45.52374151,-122.6818129",Deschutes Brewery Portland Public House,Bar,210 NW 11th Ave,90
"45.52374151,-122.6818129",Wailua Shave Ice,Dessert Shop,1022 W Burnside St,142
"45.52374151,-122.6818129",Stumptown Coffee Roasters,Burger Joint,1022 SW Harvey Milk St,169
"45.52374151,-122.6818129",Teardrop Lounge,Cocktail Bar,1015 NW Everett St,150
"45.52374151,-122.6818129",Living Room Theatres,Movie Theater,341 SW 10th Ave,163
"45.52374151,-122.6818129",Mediterranean Exploration Company,Mediterranean Restaurant,333 NW 13th Ave,281
"45.52634601,-122.6941484",Sterling Coffee Roasters,Bakery,417 NW 21st Ave,43
"45.52634601,-122.6941484",Pope House Bourbon Lounge,Cocktail Bar,2075 NW Glisan St,12
"45.52634601,-122.6941484",Trader Joe's,Grocery Store,2122 NW Glisan St,80
"45.52634601,-122.6941484",Ken's Artisan Bakery,Bakery,338 NW 21st Ave,99
"45.52634601,-122.6941484",Cinema 21,Movie Theater,616 NW 21st Ave,131
"45.52634601,-122.6941484",Coffee Time,Café,712 NW 21st Ave,178
"45.52634601,-122.6941484",Kells Brew Pub,Bar,210 NW 21st Ave,198
"45.52634601,-122.6941484",Elephants Delicatessen,Deli,115 NW 22nd Ave,336
"45.52634601,-122.6941484",Serratto,Italian Restaurant,2112 NW Kearney St,300
"45.52634601,-122.6941484",Tender Loving Empire,Gift Store,525 NW 23rd Ave,346
"45.52826831,-122.6945615",Coffee Time,Café,712 NW 21st Ave,42
"45.52826831,-122.6945615",Cinema 21,Movie Theater,616 NW 21st Ave,85
"45.52826831,-122.6945615",Serratto,Italian Restaurant,2112 NW Kearney St,84
"45.52826831,-122.6945615",Bantam Tavern,Cocktail Bar,922 NW 21st Ave,137
"45.52826831,-122.6945615",Trader Joe's,Grocery Store,2122 NW Glisan St,239
"45.52826831,-122.6945615",Pope House Bourbon Lounge,Cocktail Bar,2075 NW Glisan St,206
"45.52826831,-122.6945615",Sterling Coffee Roasters,Bakery,417 NW 21st Ave,255
"45.52826831,-122.6945615",Salt & Straw,Ice Cream Parlor,838 NW 23rd Ave,300
"45.52826831,-122.6945615",Ken's Artisan Bakery,Bakery,338 NW 21st Ave,312
"45.52826831,-122.6945615",Papa Haydn,Dessert Shop,701 NW 23rd Ave,321
"45.56282546,-122.6747467",Tulip Shop Tavern,Cocktail Bar,825 N Killingsworth St,69
"45.56282546,-122.6747467",E'Njoni Cafe,Buffet,910 N Killingsworth St,120
"45.56282546,-122.6747467",Taqueria Los Gorditos,Latin American Restaurant,902 N Killingsworth St,115
"45.56282546,-122.6747467",Saraveza,Wine Bar,1004 N Killingsworth St,189
"45.56282546,-122.6747467",Sweedeedee,Café,5202 N Albina Ave,253
"45.56282546,-122.6747467",Mississippi Records,Music Store,5202 N Albina Ave,256
"45.56282546,-122.6747467",The Florida Room,Cocktail Bar,435 N Killingsworth St,301
"45.56282546,-122.6747467",Up North Surf Club,Beer Bar,1229 N Killingsworth St,403
"45.56282546,-122.6747467",Peninsula Park and Rose Gardens,Playground,700 N Rosa Parks Way,480
"45.56282546,-122.6747467",Victoria,Cocktail Bar,4835 N Albina Ave,520
"45.5286366,-122.6820195",Cool Moon Ice Cream,Burger Joint,1105 NW Johnson St,23
"45.5286366,-122.6820195",Break Bread,Deli,1106 NW Hoyt St,172
"45.5286366,-122.6820195",Fuego Burritos,Burrito Restaurant,NW 12TH Ave,186
"45.5286366,-122.6820195",Oblation Papers & Press,Retail,516 NW 12th Ave,219
"45.5286366,-122.6820195",Pho Van Fresh,Vietnamese Restaurant,1012 NW Glisan St,250
"45.5286366,-122.6820195",Barista,Café,539 NW 13th Ave,260
"45.5286366,-122.6820195",REI,Sporting Goods Retail,1405 NW Johnson St,276
"45.5286366,-122.6820195",Andina Restaurant,Peruvian Restaurant,1314 NW Glisan St,315
"45.5286366,-122.6820195",The Star,Bar,1309 NW Hoyt St,257
